paper_id,title,year,doi,provider,provider_id,source_rank,source_query,source_query_reason,screening_decision,screening_confidence,screening_reason,title_anchor_present,title_relevance_tier,title_matched_main_topics,title_matched_secondary_topics,title_missing_main_topics
10_1088_1755_1315_993_1_012019,The effects of microplastics in oceans and marine environment on public health – a mini-review,2022,10.1088/1755-1315/993/1/012019,openalex,https://openalex.org/W4220771949,58,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1126_sciadv_aap8060,Organic fertilizer as a vehicle for the entry of microplastic into the environment,2018,10.1126/sciadv.aap8060,openalex,https://openalex.org/W2795561737,59,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_emcon_2024_100325,Microplastics and heavy metals in freshwater fish species in the southwestern region of Bangladesh: An emerging concern for public health,2024,10.1016/j.emcon.2024.100325,openalex,https://openalex.org/W4392202373,60,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_3390_su151410821,Microplastics as an Emerging Threat to the Global Environment and Human Health,2023,10.3390/su151410821,openalex,https://openalex.org/W4383911606,63,public health microplastics,Investigating the public health dimensions of microplastics.,include,medium,The title includes the anchor topic and a secondary replacement for the missing non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:environmental pollution drinking water|microplastics source tracing,drinking_water_sources
10_34098_2078_3949_37_3_4,"MICROPLASTICS: A CONTAMINANT THAT GROWS IN ALL ENVIRONMENTAL AREAS, ITS CHARACTERISTICS AND POSSIBLE RISKS TO PUBLIC HEALTH FROM EXPOSURE",2020,10.34098/2078-3949.37.3.4,openalex,https://openalex.org/W3126521157,64,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_acs_est_6b04054,Microplastic Exposure Assessment in Aquatic Environments: Learning from Similarities and Differences to Engineered Nanoparticles,2017,10.1021/acs.est.6b04054,openalex,https://openalex.org/W2580108903,65,microplastics exposure assessment,Assessment of exposure levels to microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1002_etc_4323,Toward an ecotoxicological risk assessment of microplastics: Comparison of available hazard and exposure data in freshwaters,2018,10.1002/etc.4323,openalex,https://openalex.org/W2902495387,67,microplastics exposure assessment,Assessment of exposure levels to microplastics.,include,low,"The title does not include specific terms related to drinking water sources, which is required for inclusion.",yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1016_j_envint_2023_108150,"Microplastics: Human exposure assessment through air, water, and food",2023,10.1016/j.envint.2023.108150,openalex,https://openalex.org/W4385814268,68,microplastics exposure assessment,Assessment of exposure levels to microplastics.,include,medium,The title includes the anchor topic and substitutes a missing main topic with a relevant secondary term.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1080_19440049_2018_1543957,Microplastic in bottled natural mineral water – literature review and considerations on exposure and risk assessment,2018,10.1080/19440049.2018.1543957,openalex,https://openalex.org/W2901368925,70,microplastics exposure assessment,Assessment of exposure levels to microplastics.,include,high,The candidate title does not include all main topics; it lacks a direct match to 'drinking_water_sources'.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1016_j_ecoenv_2022_114260,"Potential risk of microplastics in processed foods: Preliminary risk assessment concerning polymer types, abundance, and human exposure of microplastics",2022,10.1016/j.ecoenv.2022.114260,openalex,https://openalex.org/W4308500246,75,microplastics exposure assessment,Assessment of exposure levels to microplastics.,exclude,high,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1289_ehp11600,"Assessment of Nonalcoholic Fatty Liver Disease Symptoms and Gut–Liver Axis Status in Zebrafish after Exposure to Polystyrene Microplastics and Oxytetracycline, Alone and in Combination",2023,10.1289/ehp11600,openalex,https://openalex.org/W4362692004,77,microplastics exposure assessment,Assessment of exposure levels to microplastics.,exclude,low,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1016_j_marpolbul_2018_05_047,"Marine microplastic debris: An emerging issue for food security, food safety and human health",2018,10.1016/j.marpolbul.2018.05.047,openalex,https://openalex.org/W2809418529,78,microplastics exposure assessment,Assessment of exposure levels to microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_es302332w,Uptake and Effects of Microplastics on Cells and Tissue of the Blue Mussel <i>Mytilus edulis</i> L. after an Experimental Exposure,2012,10.1021/es302332w,openalex,https://openalex.org/W2080154049,79,microplastics exposure assessment,Assessment of exposure levels to microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3390_w13060841,From the Well to the Bottle: Identifying Sources of Microplastics in Mineral Water,2021,10.3390/w13060841,openalex,https://openalex.org/W3137433286,88,bottled water microplastics,Exploring microplastics in bottled water sources.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1080_03067319_2021_1982926,Microplastics pollution indices of bottled water from South Eastern Nigeria,2021,10.1080/03067319.2021.1982926,openalex,https://openalex.org/W3205247204,95,bottled water microplastics,Exploring microplastics in bottled water sources.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_2166_wh_2021_025,Generation of microplastics from the opening and closing of disposable plastic water bottles,2021,10.2166/wh.2021.025,openalex,https://openalex.org/W3156428370,96,bottled water microplastics,Exploring microplastics in bottled water sources.,include,high,The title does not contain the anchor topic 'microplastics_health_risks'.,yes,1,microplastics_health_risks,drinking_water_sources:bottled water microplastics,drinking_water_sources
10_3390_ijerph17051509,Toxicity of Microplastics and Nanoplastics in Mammalian Systems,2020,10.3390/ijerph17051509,openalex,https://openalex.org/W3007155206,98,toxicity of microplastics,Understanding the toxicological effects of microplastics on health.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_acs_est_6b00183,Uptake and Accumulation of Polystyrene Microplastics in Zebrafish (<i>Danio rerio</i>) and Toxic Effects in Liver,2016,10.1021/acs.est.6b00183,openalex,https://openalex.org/W2295281563,103,toxicity of microplastics,Understanding the toxicological effects of microplastics on health.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_jhazmat_2021_128151,From properties to toxicity: Comparing microplastics to other airborne microparticles,2022,10.1016/j.jhazmat.2021.128151,openalex,https://openalex.org/W4205619390,107,toxicity of microplastics,Understanding the toxicological effects of microplastics on health.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1007_s10311_023_01593_3,"Microplastic sources, formation, toxicity and remediation: a review",2023,10.1007/s10311-023-01593-3,openalex,https://openalex.org/W4362553834,108,toxicity of microplastics,Understanding the toxicological effects of microplastics on health.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_envpol_2018_07_069,Risk assessment of microplastics in the ocean: Modelling approach and first conclusions,2018,10.1016/j.envpol.2018.07.069,openalex,https://openalex.org/W2884034436,117,microplastics risk assessment,Evaluating risks associated with microplastic exposure.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_marpolbul_2021_111969,Assessment of potential ecological risk of microplastics in the coastal sediments of India: A meta-analysis,2021,10.1016/j.marpolbul.2021.111969,openalex,https://openalex.org/W3121519551,120,microplastics risk assessment,Evaluating risks associated with microplastic exposure.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_ecoenv_2020_111477,"Seasonal variation and risk assessment of microplastics in surface water of the Manas River Basin, China",2020,10.1016/j.ecoenv.2020.111477,openalex,https://openalex.org/W3093551401,122,microplastics risk assessment,Evaluating risks associated with microplastic exposure.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1038_s41598_022_12296_0,"Spatial distribution and risk assessments due to the microplastics pollution in sediments of Karnaphuli River Estuary, Bangladesh",2022,10.1038/s41598-022-12296-0,openalex,https://openalex.org/W4281249415,124,microplastics risk assessment,Evaluating risks associated with microplastic exposure.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_acs_est_0c03057,Quality Criteria for Microplastic Effect Studies in the Context of Risk Assessment: A Critical Review,2020,10.1021/acs.est.0c03057,openalex,https://openalex.org/W3081526152,125,microplastics risk assessment,Evaluating risks associated with microplastic exposure.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_envint_2020_106141,Clarifying the absence of evidence regarding human health risks to microplastic particles in drinking-water: High quality robust data wanted,2020,10.1016/j.envint.2020.106141,openalex,https://openalex.org/W3091932495,134,microplastics in drinking water health risks,Provider-specific primary query.,exclude,medium,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1021_acs_est_1c03924,Analysis of Microplastics in Human Feces Reveals a Correlation between Fecal Microplastics and Inflammatory Bowel Disease Status,2021,10.1021/acs.est.1c03924,openalex,https://openalex.org/W4200605805,135,microplastics in drinking water health risks,Provider-specific primary query.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3390_toxics9090224,"Microplastics in the Environment: Intake through the Food Web, Human Exposure and Toxicological Effects",2021,10.3390/toxics9090224,openalex,https://openalex.org/W3200098457,138,microplastics in drinking water health risks,Provider-specific primary query.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1371_journal_pone_0236838,Microplastic contamination of drinking water: A systematic review,2020,10.1371/journal.pone.0236838,openalex,https://openalex.org/W3045011717,141,microplastics in drinking water health risks,Provider-specific primary query.,include,high,"The title contains the anchor topic and both main topics, fitting all criteria.",yes,0,microplastics_health_risks; drinking_water_sources,,
10_1016_j_scitotenv_2022_153730,Human health concerns regarding microplastics in the aquatic environment - From marine to food systems,2022,10.1016/j.scitotenv.2022.153730,openalex,https://openalex.org/W4210893740,143,microplastics in drinking water health risks,Provider-specific primary query.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3390_ijerph19031174,Microplastics as Emerging Food Contaminants: A Challenge for Food Safety,2022,10.3390/ijerph19031174,openalex,https://openalex.org/W4206502483,160,microplastics risk assessment drinking water,Alternate planned search string.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_acs_est_7b00423,Plastic and Human Health: A Micro Issue?,2017,10.1021/acs.est.7b00423,openalex,https://openalex.org/W2620099204,161,toxicity microplastics ingestion human health,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1007_s40572_018_0206_z,Microplastics in Seafood and the Implications for Human Health,2018,10.1007/s40572-018-0206-z,openalex,https://openalex.org/W2885126584,163,toxicity microplastics ingestion human health,Alternate planned search string.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1186_s12989_020_00387_7,Immunotoxicity and intestinal effects of nano- and microplastics: a review of the literature,2020,10.1186/s12989-020-00387-7,openalex,https://openalex.org/W3100716142,166,toxicity microplastics ingestion human health,Alternate planned search string.,include,medium,"The anchor topic is present, but the main topic 'drinking_water_sources' has no matching secondary replacement.",yes,1,microplastics_health_risks,drinking_water_sources:toxicity microplastics ingestion human health,drinking_water_sources
10_3390_polym14132700,Raman Microspectroscopy Detection and Characterisation of Microplastics in Human Breastmilk,2022,10.3390/polym14132700,openalex,https://openalex.org/W4283758418,170,toxicity microplastics ingestion human health,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_envhealth_3c00053,Human Exposure to Microplastics and Its Associated Health Risks,2023,10.1021/envhealth.3c00053,openalex,https://openalex.org/W4385478093,175,toxicity microplastics ingestion human health,Alternate planned search string.,include,high,The title contains the anchor topic and matches the secondary topic for the missing non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_3390_ijerph20010789,Microplastics in Fish and Fishery Products and Risks for Human Health: A Review,2022,10.3390/ijerph20010789,openalex,https://openalex.org/W4313472052,176,toxicity microplastics ingestion human health,Alternate planned search string.,exclude,medium,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1016_j_envint_2020_106274,Plasticenta: First evidence of microplastics in human placenta,2020,10.1016/j.envint.2020.106274,openalex,https://openalex.org/W3109968655,181,exposure assessment microplastics bottled tap water,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_jhazmat_2025_138948,Unveiling the hidden chronic health risks of nano- and microplastics in single-use plastic water bottles: A review,2025,10.1016/j.jhazmat.2025.138948,openalex,https://openalex.org/W4411301916,182,exposure assessment microplastics bottled tap water,Alternate planned search string.,include,medium,The title addresses health risks associated with microplastics (anchor topic) and includes a secondary topic replacement for drinking water sources.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1371_journal_pone_0194970,"Anthropogenic contamination of tap water, beer, and sea salt",2018,10.1371/journal.pone.0194970,openalex,https://openalex.org/W2808334666,184,exposure assessment microplastics bottled tap water,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3390_nano11020496,Impact of Microplastics and Nanoplastics on Human Health,2021,10.3390/nano11020496,openalex,https://openalex.org/W3129687012,186,exposure assessment microplastics bottled tap water,Alternate planned search string.,include,medium,The title includes the anchor topic and a secondary term for the missing non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_3389_fendo_2021_724989,A Review of Human Exposure to Microplastics and Insights Into Microplastics as Obesogens,2021,10.3389/fendo.2021.724989,openalex,https://openalex.org/W3196209586,188,exposure assessment microplastics bottled tap water,Alternate planned search string.,include,medium,The title lacks a direct match for secondary replacements for all non-anchor main topics.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1016_j_scitotenv_2018_10_166,Microfibres from apparel and home textiles: Prospects for including microplastics in environmental sustainability assessment,2018,10.1016/j.scitotenv.2018.10.166,openalex,https://openalex.org/W2896825211,190,exposure assessment microplastics bottled tap water,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_emcon_2025_100552,"MPs in drinking water and beverages: Concentrations, characteristics and implications for human exposure",2025,10.1016/j.emcon.2025.100552,openalex,https://openalex.org/W4413290228,191,exposure assessment microplastics bottled tap water,Alternate planned search string.,include,high,The title includes the anchor topic and matches well with a secondary replacement for the non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics in drinking water,drinking_water_sources
10_3184_003685018x15294876706211,Plastic Pollution and Potential Solutions,2018,10.3184/003685018x15294876706211,openalex,https://openalex.org/W2896511627,192,exposure assessment microplastics bottled tap water,Alternate planned search string.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_heliyon_2023_e20440,From oceans to dinner plates: The impact of microplastics on human health,2023,10.1016/j.heliyon.2023.e20440,openalex,https://openalex.org/W4387063430,193,public health implications of microplastics in water,Alternate planned search string.,exclude,high,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1007_978_3_030_78627_4,Microplastic in the Environment: Pattern and Process,2021,10.1007/978-3-030-78627-4,openalex,https://openalex.org/W3206053486,197,public health implications of microplastics in water,Alternate planned search string.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_30574_wjbphs_2024_17_2_0081,Assessing the environmental and health impacts of plastic production and recycling,2024,10.30574/wjbphs.2024.17.2.0081,openalex,https://openalex.org/W4391979277,198,public health implications of microplastics in water,Alternate planned search string.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
