paper_id,title,year,doi,abstract,authors,venue,url,source,full_text_path,notes,abstract_available,full_text_available,metadata_notes,scope_decision,scope_reason,scope_matched_include_terms,scope_matched_exclude_terms
10_1016_j_chemosphere_2022_134282,Monitoring microplastics in drinking water: An interlaboratory study to inform effective methods for quantifying and characterizing microplastics,2022,10.1016/j.chemosphere.2022.134282,,Hannah De Frond; Leah M. Thornton Hampton; Syd Kotar; Kristine Gesulga; Cindy Matuch; Wenjian Lao; Stephen B. Weisberg; Charles S. Wong; Chelsea M. Rochman,Chemosphere,https://doi.org/10.1016/j.chemosphere.2022.134282,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W4220883008; source_rank=15; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and all main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.chemosphere.2022.134282; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, environmental pollution drinking water",drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; environmental pollution drinking water,
10_1016_j_chemosphere_2021_132587,Conventional and biological treatment for the removal of microplastics from drinking water,2021,10.1016/j.chemosphere.2021.132587,,Samuel L. Cherniak; Husein Almuhtaram; Michael J. McKie; Ludovic Hermabessière; Chuqiao Yuan; Chelsea M. Rochman; Robert C. Andrews,Chemosphere,https://doi.org/10.1016/j.chemosphere.2021.132587,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3207306026; source_rank=16; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.chemosphere.2021.132587; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water",drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water,
10_1016_j_chemosphere_2020_126493,Occurrence and identification of microplastics in tap water from China,2020,10.1016/j.chemosphere.2020.126493,,Huiyan Tong; Qianyi Jiang; Xingshuai Hu; Xiaocong Zhong,Chemosphere,https://doi.org/10.1016/j.chemosphere.2020.126493,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3011806041; source_rank=33; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The candidate title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1016/j.chemosphere.2020.126493; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics",tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics,
10_3390_ijerph19095283,Occurrence of Microplastics in Tap and Bottled Water: Current Knowledge,2022,10.3390/ijerph19095283,"= 21) showed the presence of microplastics (MPs) in tap (TW) and bottled (BW) water, increasing concerns for public health due to the possible toxicity associated with their polymeric composition, additives, and other compounds or microorganism adsorbed on their surface. The MP concentration increase by decreasing particles size and was higher in BW than in TW. Among BW, reusable PET and glass bottles showed a higher MP contamination than other packages. The lower MP abundance in TW than in natural sources indicates a high removal rate of MPs in drinking water treatment plants. This evidence should encourage the consumers to drink TW instead of BW, in order to limit their exposure to MPS and produce less plastic waste. The high variability in the results makes it difficult to compare the findings of different studies and build up a general hypothesis on human health risk. A globally shared protocol is needed to harmonize results also in view of the monitoring plans for the emerging contaminants, including MPs, introduced by the new European regulation.",Isabella Gambino; Francesco Bagordo; Tiziana Grassi; Alessandra Panìco; Antonella De Donno,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph19095283,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W4224988818; source_rank=35; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.3390/ijerph19095283; duplicate_count=2,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, toxicity of microplastics, additives in plastics, health impacts of plastics, health outcomes microplastics, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water, human health",microplastic presence; microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; toxicity of microplastics; additives in plastics; health impacts of plastics; health outcomes microplastics; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water; human health,
10_1016_j_scitotenv_2022_161274,"Occurrence of microplastics in tap and bottled water, and food packaging: A narrative review on current knowledge",2022,10.1016/j.scitotenv.2022.161274,,Md. Iftakharul Muhib; Md. Khabir Uddin; Md. Mostafizur Rahman; Guilherme Malafaia,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.161274,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W4313423850; source_rank=36; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and all main topics related to microplastics and drinking water.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1016/j.scitotenv.2022.161274; duplicate_count=2,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, review",tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; review,
10_1080_00032719_2019_1705476,"Distribution Characteristics and Influencing Factors of Microplastics in Urban Tap Water and Water Sources in Qingdao, China",2019,10.1080/00032719.2019.1705476,"Compared with the plethora studies of microplastics in the marine environment, fewer studies have been conducted in drinking water. This study investigated the distribution and characteristics of microplastics in tap water and two major water sources in Qingdao, China. The results showed that the microplastic abundance in tap water and water sources was from 0.3 to 1.6 items/L and 0.2 to 0.7 items/L, respectively. The microplastic size ranged from 10 to 5000 μm and were black, gray, blue, and transparent. Fiber, as the dominant shape, contributed up to 99.2% of the identified microplastics. The most common polymers were rayon (48.9%) followed by polyethylene terephthalate (PET) (29.6%). Microplastics in tap water and water sources differed in size and polymer types but showed specific correlations. The analysis of Laoshan Reservoir and Jihongtan Reservoir indicated that human activities and atmospheric deposition contributed to the microplastics in the water sources. The potential risk of the microplastics was assessed by the potential risk index of the polymers. The results showed that water treatment reduced the potential risks of microplastics in tap water.",Min Zhang; Jingxi Li; Haibing Ding; Jinfeng Ding; Fenghua Jiang; Neal Xiangyu Ding; Chengjun Sun,Analytical Letters,https://doi.org/10.1080/00032719.2019.1705476,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W2997361884; source_rank=38; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and matches both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1080/00032719.2019.1705476; duplicate_count=1,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, environmental pollution drinking water",microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; environmental pollution drinking water,
10_1007_s10661_021_09012_2,"Abundance and characteristics of microplastics in freshwater and treated tap water in Bangkok, Thailand",2021,10.1007/s10661-021-09012-2,,Penradee Chanpiwat; Seelawut Damrongsiri,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-021-09012-2,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3142860767; source_rank=42; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and both main topics are covered.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1007/s10661-021-09012-2; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics",tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics,
10_3390_w13152097,A Study of Microplastic Particles in Danish Tap Water,2021,10.3390/w13152097,"Microplastics (MPs) are omnipresent in our surroundings and in the environment, with drinking water being a potential pathway for human exposure. This study investigated the presence of MPs in Danish drinking water from 17 different households and workplaces in Denmark. Samples of tap water were collected using a closed sampling system to decrease airborne contamination, and QA/QC measurements were performed to assess background contamination. Particles &gt; 100 µm were visually analysed by stereomicroscopy in combination with spectroscopy analysis (µ-FTIR) to evaluate morphology and chemical composition. An assessment of MP particles down to 10 µm was performed on water samples from three locations using hyperspectral image analysis. The results indicate a low level of MPs in Danish drinking water, with a total of seven MP particles across all samples, comprising PET, PP, PS, and ABS. Microfibers were the most common type of MP-like particles in both drinking water and blanks, but the concentration for all samples was below the limit of detection and could not be differentiated from background contamination. Most of the particles analysed by µ-FTIR were identified as cellulose fibres and a smaller subset as protein. Based on this work, we discuss the status of MP drinking water studies and address challenges and limitations regarding the analysis of MP in drinking water.",Louise Feld; Vitor Hugo da Silva; Fionn Murphy; Nanna B. Hartmann; Jakob Strand,Water,https://doi.org/10.3390/w13152097,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3187350657; source_rank=43; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics directly related to microplastics and drinking water.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.3390/w13152097; duplicate_count=1,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, drinking water contamination, human exposure microplastics, risk assessment microplastics, exposure pathways, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, water treatment challenges, environmental pollution drinking water, chemical exposure",microplastic presence; drinking water contamination; human exposure microplastics; risk assessment microplastics; exposure pathways; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; water treatment challenges; environmental pollution drinking water; chemical exposure,
10_1007_s11356_021_13220_1,"Microplastics from headwaters to tap water: occurrence and removal in a drinking water treatment plant in Barcelona Metropolitan area (Catalonia, NE Spain)",2021,10.1007/s11356-021-13220-1,,Joan Dalmau‐Soler; Rubèn Ballesteros‐Cano; M. Rosa Boleda; Miquel Paraira; Núria Ferrer; Sı́lvia Lacorte,Environmental Science and Pollution Research,https://doi.org/10.1007/s11356-021-13220-1,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3134147141; source_rank=44; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1007/s11356-021-13220-1; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water",drinking water contamination; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water,
10_1016_j_scitotenv_2023_163866,"Abundance and characteristics of microplastics in drinking water treatment plants, distribution systems, water from refill kiosks, tap waters and bottled waters",2023,10.1016/j.scitotenv.2023.163866,,Seren Acarer Arat,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2023.163866,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W4367672770; source_rank=45; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics regarding microplastics and drinking water.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=tap water microplastics; source_query_reason=Focusing on microplastics present specifically in tap water.; dedupe_key=doi:10.1016/j.scitotenv.2023.163866; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, environmental pollution drinking water",drinking water contamination; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; environmental pollution drinking water,
