paper_id,title,year,doi,authors,venue,source,methodology,study_design,dataset_or_sample,key_finding,paper_limitation,direct_quote,future_work_or_gap,evidence_sections_used,extraction_notes
10_1016_j_jbi_2020_103411,Deep ensemble learning for Alzheimer's disease classification,2020,10.1016/j.jbi.2020.103411,Ning An; Huitong Ding; Jiaoyun Yang; Rhoda Au; Ting Fang Alvin Ang,Journal of Biomedical Informatics,collected:openalex,deep_ensemble_learning; classification,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_1093_jamia_ocac168,Multimodal Attention-based Deep Learning for Alzheimer's Disease Diagnosis,2022,10.1093/jamia/ocac168,Michal Golovanevsky; Carsten Eickhoff; Ritambhara Singh,arXiv (Cornell University),collected:openalex,deep_learning; cross_modal_attention,model_development_study,"ADNI dataset including imaging, genetic, and clinical data from patients.","The proposed MADDi framework achieved 96.88% accuracy in classifying Alzheimer's Disease, mild cognitive impairment, and controls.","The study emphasizes that without access to structured clinical information, multimodal mixtures suffer performance losses.","[{""quote"": ""Our experiments underlined the importance of structured clinical data to help machine learning models contextualize and interpret the remaining modalities."", ""section"": ""abstract"", ""reason"": ""This quote highlights the critical role of clinical data in the framework's performance.""}]",Further investigation is needed into enhancing the integration of diverse modalities to improve classification accuracy.,abstract,
10_1016_j_mri_2021_02_001,A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,2021,10.1016/j.mri.2021.02.001,Jie Zhang; Bowen Zheng; Ang Gao; Xin Feng; Dong Liang; Xiaojing Long,Magnetic Resonance Imaging,collected:openalex,deep_learning; convolutional_neural_network,model_development_study,baseline MRI of 968 subjects from ADNI database,The proposed method achieved 97.35% accuracy for distinguishing AD patients from healthy control.,unclear,"[{""quote"": ""Deep learning techniques provide a powerful tool to explore minute but intricate characteristics in MR images which may facilitate early diagnosis and prediction of AD."", ""section"": ""Abstract"", ""reason"": ""This quote succinctly highlights the potential of the proposed techniques for improving diagnosis and prediction.""}]",unclear,abstract,
10_1016_j_neurobiolaging_2021_04_024,A machine learning approach to screen for preclinical Alzheimer's disease,2021,10.1016/j.neurobiolaging.2021.04.024,Sinead Gaubert; Marion Houot; Federico Raimondo; Manon Ansart; Marie‐Constance Corsi; Lionel Naccache; Jacobo Sitt; Marie‐Odile Habert; Bruno Dubois; Fabrizio De Vico Fallani; Stanley Durrleman; Stéphane Epelbaum,Neurobiology of Aging,collected:openalex,machine_learning,observational_study,unclear,unclear,unclear,[],unclear,title,
10_3390_brainsci10020084,A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease,2020,10.3390/brainsci10020084,Atif Mehmood; Muazzam Maqsood; Muzaffar Bashir; Yang Shuyuan,Brain Sciences,collected:openalex,deep_learning; convolutional_neural_network,model_development_study,publicly available dataset open access series of imaging studies (OASIS),The proposed SCNN model achieved a test accuracy of 99.05% for classifying dementia stages.,Problems of over-fitting due to a smaller number of image samples available in datasets.,[],unclear,abstract,
10_1016_j_compbiomed_2021_105032,Deep learning based pipelines for Alzheimer's disease diagnosis: A comparative study and a novel deep-ensemble method,2021,10.1016/j.compbiomed.2021.105032,Andrea Loddo; Sara Buttau; Cecilia Di Ruberto,Computers in Biology and Medicine,collected:openalex,deep_learning; deep_ensemble,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_1016_j_ejrad_2023_110934,Artificial intelligence-based diagnosis of Alzheimer's disease with brain MRI images,2023,10.1016/j.ejrad.2023.110934,Zhaomin Yao; Hongyu Wang; W. C. Yan; Z Q Wang; Wenwen Zhang; Zhiguo Wang; Guoxu Zhang,European Journal of Radiology,collected:openalex,artificial_intelligence,unclear,unclear,unclear,unclear,[],unclear,,
10_1016_j_neucom_2020_01_053,Detecting Alzheimer's disease Based on 4D fMRI: An exploration under deep learning framework,2020,10.1016/j.neucom.2020.01.053,Wei Li; Xuefeng Lin; Xi Chen,Neurocomputing,collected:openalex,deep_learning; 4d_fmri,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_1016_j_nicl_2021_102712,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease,2021,10.1016/j.nicl.2021.102712,for the Alzheimer's Disease Neuroimaging Initiative,EUR Research Repository (Erasmus University Rotterdam),collected:openalex,support_vector_machine; convolutional_neural_network,cohort_study,Alzheimer's Disease Neuroimaging Initiative (ADNI); Health-RI Parelsnoer Neurodegenerative Diseases Biobank.,The study validates the generalizability of MRI-based machine learning classification to external datasets for predicting conversion to Alzheimer's disease.,External validation performance showed slight decreases compared to the internal dataset; classification is better with modulated GM maps than minimally processed images.,"[{""quote"": ""This work validates the generalizability of MRI-based classification of Alzheimer's disease (AD) patients and controls (CN) to an external data set."", ""section"": ""abstract"", ""reason"": ""Highlights the main validation claim of the study.""}]",Further exploration is needed on enhancing model performance in diverse populations.,methodology; study_design; dataset_or_sample; key_finding; paper_limitation; direct_quote; future_work_or_gap,
10_1002_alz_12032,Predicting sporadic Alzheimer's disease progression via inherited Alzheimer's disease‐informed machine‐learning,2020,10.1002/alz.12032,Nicolai Franzmeier; Nikolaos Koutsouleris; Tammie L.S. Benzinger; Alison Goate; Celeste M. Karch; Anne M. Fagan; Eric McDade; Marco Duering; Martin Dichgans; Johannes Levin; Brian A. Gordon; Yen Ying Lim; Colin L. Masters; Martin N. Rossor; Nick C. Fox; Antoinette O’Connor; Jasmeer P. Chhatwal; Stephen Salloway; Adrian Danek; Jason Hassenstab; Peter R. Schofield; John C. Morris; Randall J. Bateman; the Alzheimer's disease neuroimaging initiative (ADNI); the Dominantly Inherited Alzheimer Network (DIAN); Michael Ewers,Alzheimer s & Dementia,collected:openalex,support_vector_regression,model_development_study,"AD biomarkers from cerebrospinal fluid, structural MRI, amyloid-PET, and fluorodeoxyglucose PET",The model predicted cognitive decline in sporadic prodromal AD and reduced sample size needed for clinical trials.,The prediction models were developed in a specific cohort which may limit generalizability.,[],Further research is needed to validate the model across diverse populations.,abstract; methods; results; discussion,
10_1016_j_compbiomed_2021_105056,A deep learning framework with an embedded-based feature selection approach for the early detection of the Alzheimer's disease,2021,10.1016/j.compbiomed.2021.105056,Nivedhitha Mahendran; P. M. Durai Raj Vincent,Computers in Biology and Medicine,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,title,
10_1016_j_sbi_2024_102776,Artificial intelligence for drug discovery and development in Alzheimer's disease,2024,10.1016/j.sbi.2024.102776,Yunguang Qiu; Feixiong Cheng,Current Opinion in Structural Biology,collected:openalex,,mixed_methods_study,"multi-omics data including genomics, epigenomics, transcriptomics, proteomics, and metabolomics","AI-guided drug discovery methodologies aid the development of therapeutics for Alzheimer's disease, particularly through drug repurposing strategies.",unclear,[],unclear,abstract,
10_1016_j_matpr_2021_03_061,Alzheimer's disease prediction using machine learning techniques and principal component analysis (PCA),2021,10.1016/j.matpr.2021.03.061,M. Sudharsan; G. Thailambal,Materials Today Proceedings,collected:openalex,machine_learning; principal_component_analysis,observational_study,unclear,unclear,unclear,[],unclear,title,
10_1111_nan_12759,Deep learning‐based model for diagnosing Alzheimer's disease and tauopathies,2021,10.1111/nan.12759,Shunsuke Koga; Akihiro Ikeda; Dennis W. Dickson,Neuropathology and Applied Neurobiology,collected:openalex,deep_learning; random_forest_classifiers,validation_study,"2522 digital slide images of CP13-immunostained slides of the motor cortex from 120 cases (32 AD, 36 PSP,","The random forest classifier achieved an average test score of 0.97, with over 95% diagnostic accuracy for Alzheimer's disease.",unclear,[],unclear,abstract; methods; results,
10_1016_j_bspc_2021_103293,"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia",2021,10.1016/j.bspc.2021.103293,Golrokh Mirzaei; Hojjat Adeli,Biomedical Signal Processing and Control,collected:openalex,machine_learning,validation_study,unclear,unclear,unclear,[],unclear,,
10_1007_s44174_023_00078_9,A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,2023,10.1007/s44174-023-00078-9,Khandaker Mohammad Mohi Uddin; Mir Jafikul Alam; Jannat-E-Anawar; Md. Ashraf Uddin; Sunil Aryal,Biomedical Materials & Devices,collected:openalex,machine_learning; ensemble_learning,model_development_study,unclear,unclear,unclear,[],unclear,,
10_1016_j_arr_2024_102497,"AI-driven innovations in Alzheimer's disease: Integrating early diagnosis, personalized treatment, and prognostic modelling",2024,10.1016/j.arr.2024.102497,Mayur B. Kale; Nitu L. Wankhede; Rupali S. Pawar; Suhas Ballal; Rohit Kumawat; Manish Goswami; Mohammad Khalid; Brijesh G. Taksande; Aman B. Upaganlawar; Milind Umekar; Spandana Rajendra Kopalli; Sushruta Koppula,Ageing Research Reviews,collected:openalex,ai_driven_innovations; prognostic_modelling,unclear,unclear,unclear,unclear,[],unclear,,
10_1016_j_compbiomed_2021_104678,Multi-model and multi-slice ensemble learning architecture based on 2D convolutional neural networks for Alzheimer's disease diagnosis,2021,10.1016/j.compbiomed.2021.104678,Wenjie Kang; Lan Lin; Baiwen Zhang; Xiaoqi Shen; Shuicai Wu,Computers in Biology and Medicine,collected:openalex,ensemble_learning; convolutional_neural_network,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_3389_fpubh_2022_772592,A Transfer Learning Method for Detecting Alzheimer's Disease Based on Speech and Natural Language Processing,2022,10.3389/fpubh.2022.772592,Ning Liu; Kexue Luo; Zhenming Yuan; Yan Chen,Frontiers in Public Health,collected:openalex,transfer_learning; natural_language_processing,mixed_methods_study,spontaneous speech datasets including 78 healthy controls and 78 patients with AD,"The proposed model achieved an accuracy of 0.88, indicating strong potential for early diagnosis of Alzheimer's disease.","The study is limited by the small dataset size, which may affect model generalizability.","[{""quote"": ""The accuracy of the proposed model is 0.88, which is almost equivalent to the champion score in the challenge"", ""section"": ""abstract"", ""reason"": ""This quote highlights the effectiveness of the model developed in the study.""}]",Future work should address the need for larger datasets to improve model accuracy and generalizability.,abstract; title,
10_1109_jbhi_2021_3053568,Auto-Metric Graph Neural Network Based on a Meta-Learning Strategy for the Diagnosis of Alzheimer's Disease,2021,10.1109/jbhi.2021.3053568,Xiaofan Song; Mingyi Mao; Xiaohua Qian,IEEE Journal of Biomedical and Health Informatics,collected:openalex,graph_neural_network; meta_learning,validation_study,TADPOLE dataset,The proposed auto-metric GNN model shows excellent diagnostic performance with accuracies of 94.44% for early AD diagnosis and 87.50% for MCI conversion prediction.,The model performance relies heavily on the training dataset's quality and structure.,[],unclear,,
10_1016_j_compbiomed_2023_107328,Multi-modal graph neural network for early diagnosis of Alzheimer's disease from sMRI and PET scans,2023,10.1016/j.compbiomed.2023.107328,Yanteng Zhang; Xiaohai He; Yi Hao Chan; Qizhi Teng; Jagath C. Rajapakse,Computers in Biology and Medicine,collected:openalex,multi_modal_graph_neural_network,model_development_study,unclear,unclear,unclear,[],unclear,,
10_1109_icaccs48705_2020_9074248,Alzheimer Disease Prediction using Machine Learning Algorithms,2020,10.1109/icaccs48705.2020.9074248,J. Neelaveni; M.S. Geetha Devasana,,collected:openalex,machine_learning,model_development_study,"psychological parameters like age, number of visit, MMSE and education",The paper predicts Alzheimer's disease using machine learning algorithms based on psychological parameters.,unclear,[],unclear,abstract,
10_1109_tfuzz_2024_3409412,Fuzzy Deep Learning for the Diagnosis of Alzheimer's Disease: Approaches and Challenges,2024,10.1109/tfuzz.2024.3409412,M. Tanveer; M. Sajid; Mushir Akhtar; A. Quadir; Tripti Goel; Aroof Aimen; Sushmita Mitra; Y-D Zhang; Chin‐Teng Lin; Javier Del Ser,IEEE Transactions on Fuzzy Systems,collected:openalex,fuzzy_deep_learning; neuroimaging_analysis,validation_study,genomics; proteomics,"Fuzzy deep learning effectively manages imprecise data, improving the interpretability and accuracy of Alzheimer's disease diagnosis.",Conventional deep learning models struggle with uncertainties due to unclear annotations and limitations in equipment resolution.,"[{""quote"": ""the integration of fuzzy logic into DL, forming fuzzy deep learning (FDL), effectively manages imprecise data"", ""section"": ""abstract"", ""reason"": ""Highlights the key advancement introduced by the paper.""}]",Exploring the fusion of multimodal data with fuzzy logic for improved Alzheimer diagnosis.,abstract,
10_1109_icscds53736_2022_9760858,Alzheimer's Disease Analysis using Explainable Artificial Intelligence (XAI),2022,10.1109/icscds53736.2022.9760858,K. Muthamil Sudar; P. Nagaraj; S Nithisaa; R. Aishwarya; M. Aakash; S. Ishwarya Lakshmi,2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),collected:openalex,layer_wise_relevance_propagation; cnn,experimental_study,image data from Alzheimer patients,The study successfully identifies stages of Alzheimer's disease using Explainable AI techniques.,Limited sample size and potential bias in data collection.,"[{""quote"": ""it is important for one to identify it in its early stage and cure it."", ""section"": ""abstract"", ""reason"": ""This quote emphasizes the significance of early detection in Alzheimer's treatment.""}]",Further research is needed to explore additional AI methods for improved accuracy in Alzheimer's classification.,abstract,
10_5582_irdr_2023_01091,Artificial intelligence technology in Alzheimer's disease research,2023,10.5582/irdr.2023.01091,Wenli Zhang; Yifan Li; Wentao Ren; Bo Liu,Intractable & Rare Diseases Research,collected:openalex,artificial_intelligence; deep_learning,unclear,unclear,This review aims to explore the differences between conventional methods and AI techniques in Alzheimer's disease research.,unclear,[],unclear,abstract,
10_1016_j_patcog_2020_107247,Deep and joint learning of longitudinal data for Alzheimer's disease prediction,2020,10.1016/j.patcog.2020.107247,Baiying Lei; Mengya Yang; Peng Yang; Feng Zhou; Hou Wen; Wen‐Bin Zou; Xia Li; Tianfu Wang; Xiaohua Xiao; Shuqiang Wang,Pattern Recognition,collected:openalex,deep_learning,longitudinal_study,unclear,unclear,unclear,[],unclear,,
10_1016_j_compbiomed_2022_106240,Multi-label classification of Alzheimer's disease stages from resting-state fMRI-based correlation connectivity data and deep learning,2022,10.1016/j.compbiomed.2022.106240,Abdulaziz Alorf; Muhammad Usman Ghani Khan,Computers in Biology and Medicine,collected:openalex,deep_learning; multi_label_classification,model_development_study,resting_state_fmri data,The proposed model achieved average accuracies of 77.13% and 84.03% for multi-label classification of Alzheimer's disease stages.,The application of computer-aided diagnosis for the numerous advancing phases of Alzheimer's disease remains understudied.,"[{""quote"": ""The application of computer-aided diagnosis for the numerous advancing phases of Alzheimer's disease, on the other hand, remains understudied."", ""section"": ""abstract"", ""reason"": ""Highlights a gap in research addressed by the paper.""}]",Further investigation into computer-aided diagnosis for various stages of Alzheimer's disease is needed.,abstract; title,
10_1016_j_measurement_2020_108838,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2020,10.1016/j.measurement.2020.108838,V. Sathiyamoorthi; A. K. Ilavarasi; K. Murugeswari; Syed Thouheed Ahmed; B. Aruna Devi; Murali Kalipindi,Measurement,collected:openalex,deep_convolutional_neural_network; computer_aided_diagnosis,model_development_study,unclear,unclear,unclear,[],unclear,,
10_3389_fpubh_2020_584387,Alzheimer's Disease Classification With a Cascade Neural Network,2020,10.3389/fpubh.2020.584387,Zeng You; Runhao Zeng; Xiaoyong Lan; Huixia Ren; Zhiyang You; Xue Shi; Shipeng Zhao; Yi Guo; Xin Jiang; Xiping Hu,Frontiers in Public Health,collected:openalex,cascade_neural_network; attention_based_spatial_temporal_graph,model_development_study,"gait and EEG data from 35 cognitively healthy controls, 35 MCI, and 17 AD patients","The proposed method significantly outperformed other AD diagnosis methods with an accuracy of 91.07% in three-way classification of HC, MCI, and AD.","Existing methods using gait data often fail to detect the differences between MCI and AD, and EEG data collection is time-consuming.","[{""quote"": ""...this task remains tremendously challenging due to the limited data and the difficulties in detecting mild cognitive impairment (MCI)."", ""section"": ""abstract"", ""reason"": ""This illustrates the primary challenge addressed by the paper.""}, {""quote"": ""Experimental results show that our method significantly outperforms other AD diagnosis methods (91.07 vs. 68.18%) in the three-way AD classification task (HC, MCI, and AD)."", ""section"": ""abstract"", ""reason"": ""This highlights the key finding regarding the performance of the proposed method.""}]",More research is needed to enhance the accuracy of classifications between MCI and AD using limitations in current data collection methods.,abstract; study_design,
10_1016_j_patcog_2022_109031,Transformed domain convolutional neural network for Alzheimer's disease diagnosis using structural MRI,2022,10.1016/j.patcog.2022.109031,S. Qasim Abbas; Lianhua Chi; Yi‐Ping Phoebe Chen,Pattern Recognition,collected:openalex,convolutional_neural_network,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_1007_978_981_15_5546_6_50,Deep Learning-Based Alzheimer Disease Detection,2020,10.1007/978-981-15-5546-6_50,Swathi S. Kundaram; Ketki C. Pathak,Lecture notes in electrical engineering,collected:openalex,deep_learning; convolutional_neural_network,model_development_study,unclear,unclear,unclear,[],unclear,title,
10_1042_etls20210249,"Applied machine learning in Alzheimer's disease research: omics, imaging, and clinical data",2021,10.1042/etls20210249,Ziyi Li; Xiaoqian Jiang; Yizhuo Wang; Yejin Kim,Emerging Topics in Life Sciences,collected:openalex,machine_learning; data_integration,mixed_methods_study,"multimodal data from genetics, proteomics, transcriptomics, and imaging.",Machine learning methods have potential for improving management of Alzheimer's disease through data integration and new biomarker discovery.,Challenges in integrating data from various modalities.,"[{""quote"": ""Machine learning (ML) methods offer novel techniques to address high dimensional data, integrate data from different sources, model the etiological and clinical heterogeneity, and discover new biomarkers."", ""section"": ""abstract"", ""reason"": ""This quote succinctly captures the core contribution of the paper regarding the application of machine learning.""}]",Potential directions for future research include further integration of diverse data types in Alzheimer's research.,abstract; title,
10_1016_j_cmpb_2020_105765,Influence of medical domain knowledge on deep learning for Alzheimer's disease prediction,2020,10.1016/j.cmpb.2020.105765,Branimir Ljubic; Shoumik Roychoudhury; Xi Hang Cao; Martin Pavlovski; Stefan Obradovic; R. Radhakrishnan Nair; Lucas M. Glass; Zoran Obradović,Computer Methods and Programs in Biomedicine,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,title; abstract; introduction; methods; methodology; materials_and_methods; study_design; procedure; approach,
10_1109_jerm_2021_3096172,Classification of Alzheimer's Disease Using RF Signals and Machine Learning,2021,10.1109/jerm.2021.3096172,Imran Saied; Tughrul Arslan; Siddharthan Chandran,IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,collected:openalex,machine_learning; rf_signals,validation_study,6 antennas with S-parameter data from 9 human models,The logistic regression model achieved an accuracy of 98.97% in classifying four stages of Alzheimer's disease.,The study may be limited by the sample size of 9 models and the reliance on RF signal data alone.,"[{""quote"": ""The results obtained here provide a transformative approach to clinics and monitoring systems."", ""section"": ""abstract"", ""reason"": ""This quote highlights the clinical implications of the study's findings.""}]",Future work may explore integrating additional modalities for improved accuracy.,abstract; results; methods,
10_1016_j_sab_2020_105931,Diagnosis of Alzheimer's disease using laser-induced breakdown spectroscopy and machine learning,2020,10.1016/j.sab.2020.105931,R. Gaudiuso; Ebo Ewusi-Annan; Weiming Xia; Noureddine Melikechi,Spectrochimica Acta Part B Atomic Spectroscopy,collected:openalex,laser_induced_breakdown_spectroscopy; machine_learning,unclear,unclear,unclear,unclear,[],unclear,,
10_1109_cbms49503_2020_00020,3D Convolutional Neural Networks for Diagnosis of Alzheimer's Disease via Structural MRI,2020,10.1109/cbms49503.2020.00020,Ekin Yağış; Luca Citi; Stefano Diciotti; Chiara Marzi; Selamawet Workalemahu Atnafu; Alba García Seco de Herrera,,collected:openalex,3d_convolutional_neural_network; deep_learning,model_development_study,ADNI; OASIS,The proposed model achieved 73.4% classification accuracy on ADNI and 69.9% on OASIS dataset with 5-fold cross-validation.,unclear,[],unclear,abstract; title,
10_3389_fneur_2020_576194,Comparison of Transfer Learning and Conventional Machine Learning Applied to Structural Brain MRI for the Early Diagnosis and Prognosis of Alzheimer's Disease,2020,10.3389/fneur.2020.576194,Loris Nanni; Matteo Interlenghi; Sheryl Brahnam; Christian Salvatore; Sergio Papa; Raffaello Nemni; Isabella Castiglioni; The Alzheimer's Disease Neuroimaging Initiative,Frontiers in Neurology,collected:openalex,transfer_learning; conventional_machine_learning,cohort_study,"ADNI repository; more than 600 subjects including Alzheimer's Disease, Mild Cognitive Impaired (converting and not converting to AD), and cognitively-normal",The ensemble transfer-learning approach effectively discriminated AD from CN with 90.2% AUC.,The deep-learning network trained from scratch obtained lower performance than other methods due to the limited sample of images used for training.,"[{""quote"": ""These results open new prospective on the use of transfer learning combined with neuroimages for the automatic early diagnosis and prognosis of AD."", ""section"": ""abstract"", ""reason"": ""This quote summarizes the potential impact of the research.""}]",Further investigation into the performance of deep learning and transfer learning in Alzheimer’s diagnostics is needed.,abstract; methods; results,
10_1007_s00521_022_07501_0,Deep learning and multimodal feature fusion for the aided diagnosis of Alzheimer's disease,2022,10.1007/s00521-022-07501-0,Hongfei Jia; Huan Lao,Neural Computing and Applications,collected:openalex,deep_learning; multimodal_feature_fusion,model_development_study,unclear,unclear,unclear,[],unclear,title,
