title,categoric,semantic,paper_id,year,doi,research_application,ai_method_family,data_modality,disease_stage_or_population,validation_design,evaluation_focus,study_contribution
"A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study",diagnosis,"The study developed a deep learning model that detects Alzheimer's disease using retinal photographs, demonstrating the model's accuracy and potential for community screening.",10_1016_s2589_7500(22)00169_8,2022,10.1016/s2589-7500(22)00169-8,diagnosis; early_detection,deep_learning; convolutional_neural_network,pet,alzheimers_disease,internal_holdout; external_validation,discrimination_performance,model_development; model_validation
Deep ensemble learning for Alzheimer's disease classification,disease_classification,This paper presents a deep ensemble learning framework aimed at improving Alzheimer's disease classification accuracy by integrating multiple deep learning techniques and harnessing multisource data.,10_1016_j_jbi_2020_103411,2020,10.1016/j.jbi.2020.103411,disease_classification; diagnosis,deep_learning; ensemble_learning,clinical_assessment; multimodal_data,alzheimers_disease,cross_validation,discrimination_performance,model_development; comparative_benchmark
Multimodal Attention-based Deep Learning for Alzheimer's Disease Diagnosis,diagnosis,"This study presents a novel multimodal deep learning framework (MADDi) for diagnosing Alzheimer's Disease and mild cognitive impairment using imaging, genetic, and clinical data.",10_1093_jamia_ocac168,2022,10.1093/jamia/ocac168,diagnosis; disease_classification; clinical_decision_support,deep_learning; convolutional_neural_network; transformer,structural_mri; genomic_data; clinical_assessment; multimodal_data,mild_cognitive_impairment; alzheimers_disease,cross_validation; internal_holdout,discrimination_performance; clinical_utility,model_development; model_validation
A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,diagnosis,This study presents a novel deep learning method for efficiently classifying Alzheimer's disease using 3D MRI images.,10_1016_j_mri_2021_02_001,2021,10.1016/j.mri.2021.02.001,diagnosis; disease_classification; progression_prediction,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease; mild_cognitive_impairment,cross_validation,discrimination_performance,model_development; clinical_application
A machine learning approach to screen for preclinical Alzheimer's disease,early_detection,This paper demonstrates the effectiveness of machine learning in screening for preclinical Alzheimer's disease using multimodal biomarkers.,10_1016_j_neurobiolaging_2021_04_024,2021,10.1016/j.neurobiolaging.2021.04.024,early_detection; diagnosis; progression_prediction,classical_machine_learning,eeg; pet; multimodal_data,cognitively_normal; subjective_cognitive_decline; prodromal_alzheimers,cross_validation,discrimination_performance; clinical_utility,model_development; model_validation
"Functional magnetic resonance imaging, deep learning, and Alzheimer's disease: A systematic review",diagnosis,This systematic review explores the utilization of functional MRI and deep learning techniques in the diagnosis of Alzheimer's disease.,10_1111_jon_13063,2022,10.1111/jon.13063,diagnosis,deep_learning,functional_mri,alzheimers_disease,,generalizability; clinical_utility,review_or_synthesis
A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease,diagnosis,This paper introduces a Siamese convolutional neural network model for precise multi-class classification of Alzheimer's disease using MRI data.,10_3390_brainsci10020084,2020,10.3390/brainsci10020084,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,,discrimination_performance,model_development; comparative_benchmark
Early prediction of Alzheimer's disease using convolutional neural network: a review,early_detection,"This paper reviews the use of convolutional neural networks for the early prediction of Alzheimer's disease, highlighting the performance of different machine learning methods.",10_1186_s41983_022_00571_w,2022,10.1186/s41983-022-00571-w,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri; pet,mild_cognitive_impairment; prodromal_alzheimers; alzheimers_disease,,discrimination_performance; clinical_utility,review_or_synthesis
Deep learning based pipelines for Alzheimer's disease diagnosis: A comparative study and a novel deep-ensemble method,diagnosis,"The paper presents a comparative study on deep learning methods for diagnosing Alzheimer's disease, introducing a novel deep-ensemble approach that outperforms existing benchmarks.",10_1016_j_compbiomed_2021_105032,2021,10.1016/j.compbiomed.2021.105032,diagnosis; disease_classification,deep_learning; convolutional_neural_network; ensemble_learning,structural_mri; functional_mri,mild_cognitive_impairment; alzheimers_disease,cross_validation; external_validation,discrimination_performance; robustness,model_development; comparative_benchmark
Artificial intelligence-based diagnosis of Alzheimer's disease with brain MRI images,diagnosis,This paper explores the application of artificial intelligence for the diagnosis of Alzheimer's disease using brain MRI images.,10_1016_j_ejrad_2023_110934,2023,10.1016/j.ejrad.2023.110934,diagnosis,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,,,model_development
Early diagnosis of Alzheimer's disease based on deep learning: A systematic review,early_detection,This systematic review evaluates the application of deep learning methods for the early diagnosis of Alzheimer's disease.,10_1016_j_compbiomed_2022_105634,2022,10.1016/j.compbiomed.2022.105634,early_detection; diagnosis,deep_learning,,mild_cognitive_impairment; prodromal_alzheimers; alzheimers_disease,,discrimination_performance; clinical_utility,review_or_synthesis
A review of the application of deep learning in the detection of Alzheimer's disease,diagnosis,"This paper reviews the effectiveness of deep learning methods in the detection of Alzheimer's disease, summarizing various models and biomarkers.",10_1016_j_ijcce_2021_12_002,2021,10.1016/j.ijcce.2021.12.002,diagnosis; early_detection,deep_learning,structural_mri; functional_mri,alzheimers_disease,,discrimination_performance,review_or_synthesis
Detecting Alzheimer's disease Based on 4D fMRI: An exploration under deep learning framework,diagnosis,The paper explores the use of deep learning to detect Alzheimer's disease using 4D fMRI data.,10_1016_j_neucom_2020_01_053,2020,10.1016/j.neucom.2020.01.053,diagnosis,deep_learning,functional_mri,alzheimers_disease,,,model_development
Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease,diagnosis,This paper demonstrates the generalizability of MRI-based machine learning techniques in diagnosing and predicting Alzheimer's disease.,10_1016_j_nicl_2021_102712,2021,10.1016/j.nicl.2021.102712,diagnosis; progression_prediction,classical_machine_learning; deep_learning; convolutional_neural_network,structural_mri,mild_cognitive_impairment; alzheimers_disease,cross_validation; external_validation,discrimination_performance; generalizability,model_validation; comparative_benchmark
Predicting sporadic Alzheimer's disease progression via inherited Alzheimer's disease‐informed machine‐learning,progression_prediction,The paper presents a validated machine-learning model for predicting cognitive decline in sporadic Alzheimer's disease using multi-biomarker data.,10_1002_alz_12032,2020,10.1002/alz.12032,progression_prediction; risk_prediction,classical_machine_learning,structural_mri; pet; fluid_biomarkers,prodromal_alzheimers; alzheimers_disease,cross_validation; internal_holdout,discrimination_performance; generalizability,model_development; model_validation
A deep learning framework with an embedded-based feature selection approach for the early detection of the Alzheimer's disease,early_detection,The paper presents a deep learning framework for the early detection of Alzheimer's disease utilizing an embedded-based feature selection approach.,10_1016_j_compbiomed_2021_105056,2021,10.1016/j.compbiomed.2021.105056,early_detection,deep_learning,,alzheimers_disease,,,model_development
Artificial intelligence for drug discovery and development in Alzheimer's disease,drug_discovery,"This paper reviews AI-driven methodologies for drug discovery and development aimed at Alzheimer’s disease, highlighting drug repurposing as a promising strategy.",10_1016_j_sbi_2024_102776,2024,10.1016/j.sbi.2024.102776,drug_discovery,classical_machine_learning; deep_learning,genomic_data,alzheimers_disease,,,review_or_synthesis
Alzheimer's disease prediction using machine learning techniques and principal component analysis (PCA),risk_prediction,This paper explores the use of machine learning techniques and PCA for predicting Alzheimer's disease.,10_1016_j_matpr_2021_03_061,2021,10.1016/j.matpr.2021.03.061,risk_prediction; diagnosis,classical_machine_learning,,alzheimers_disease,,,model_development
Deep learning‐based model for diagnosing Alzheimer's disease and tauopathies,diagnosis,The paper presents a deep learning model that effectively differentiates Alzheimer's disease from other tauopathies using digital slide images.,10_1111_nan_12759,2021,10.1111/nan.12759,diagnosis; disease_classification,deep_learning; classical_machine_learning,multimodal_data,alzheimers_disease; mixed_dementia_population,internal_holdout; external_validation,discrimination_performance; clinical_utility,model_development; model_validation
"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia",diagnosis,The paper explores machine learning techniques for diagnosing Alzheimer's disease and related disorders.,10_1016_j_bspc_2021_103293,2021,10.1016/j.bspc.2021.103293,diagnosis; disease_classification,classical_machine_learning,,alzheimers_disease; mild_cognitive_impairment; mixed_dementia_population,,,model_development
A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,early_detection,"This paper presents a machine learning approach for the early diagnosis of Alzheimer's disease, achieving a high validation accuracy of 96%.",10_1007_s44174_023_00078_9,2023,10.1007/s44174-023-00078-9,early_detection; diagnosis,classical_machine_learning; ensemble_learning,multimodal_data,prodromal_alzheimers,cross_validation,discrimination_performance,model_development; model_validation
"AI-driven innovations in Alzheimer's disease: Integrating early diagnosis, personalized treatment, and prognostic modelling",early_detection,"This paper discusses the integration of AI-driven innovations for early diagnosis, personalized treatment, and prognostic modeling in Alzheimer's disease.",10_1016_j_arr_2024_102497,2024,10.1016/j.arr.2024.102497,early_detection; diagnosis; treatment_response_prediction; progression_prediction,,,,,,methodological_framework; clinical_application
Multi-model and multi-slice ensemble learning architecture based on 2D convolutional neural networks for Alzheimer's disease diagnosis,diagnosis,This paper develops a multi-model and multi-slice ensemble learning architecture utilizing 2D convolutional neural networks for diagnosing Alzheimer's disease.,10_1016_j_compbiomed_2021_104678,2021,10.1016/j.compbiomed.2021.104678,diagnosis,convolutional_neural_network; ensemble_learning,,alzheimers_disease,,,model_development
A Transfer Learning Method for Detecting Alzheimer's Disease Based on Speech and Natural Language Processing,early_detection,This study develops a transfer learning model utilizing speech and natural language processing for early diagnosis of Alzheimer's disease.,10_3389_fpubh_2022_772592,2022,10.3389/fpubh.2022.772592,early_detection; diagnosis,deep_learning; natural_language_processing; transformer,speech_language,alzheimers_disease,cross_validation,discrimination_performance,model_development; clinical_application
A systematic literature review on the significance of deep learning and machine learning in predicting Alzheimer's disease,progression_prediction,This paper systematically reviews deep learning and machine learning approaches for predicting Alzheimer's disease.,10_1016_j_artmed_2024_102928,2024,10.1016/j.artmed.2024.102928,progression_prediction; diagnosis,deep_learning; classical_machine_learning,,mild_cognitive_impairment; prodromal_alzheimers; alzheimers_disease,,,review_or_synthesis
Auto-Metric Graph Neural Network Based on a Meta-Learning Strategy for the Diagnosis of Alzheimer's Disease,early_detection,"This paper proposes an auto-metric graph neural network model for diagnosing Alzheimer's disease, showcasing its efficacy in early detection and progression prediction.",10_1109_jbhi_2021_3053568,2021,10.1109/jbhi.2021.3053568,early_detection; diagnosis; progression_prediction,graph_neural_network; deep_learning,multimodal_data,mild_cognitive_impairment; alzheimers_disease,internal_holdout,discrimination_performance,model_development; model_validation
Multi-modal graph neural network for early diagnosis of Alzheimer's disease from sMRI and PET scans,early_detection,This paper presents a multi-modal graph neural network approach for the early diagnosis of Alzheimer's disease using structural MRI and PET scans.,10_1016_j_compbiomed_2023_107328,2023,10.1016/j.compbiomed.2023.107328,early_detection; diagnosis,graph_neural_network,structural_mri; pet,prodromal_alzheimers; alzheimers_disease,,,model_development
Alzheimer Disease Prediction using Machine Learning Algorithms,early_detection,This paper demonstrates the use of machine learning algorithms to predict Alzheimer's disease based on psychological parameters.,10_1109_icaccs48705_2020_9074248,2020,10.1109/icaccs48705.2020.9074248,early_detection; diagnosis; progression_prediction,classical_machine_learning,clinical_assessment,prodromal_alzheimers,,,model_development
Fuzzy Deep Learning for the Diagnosis of Alzheimer's Disease: Approaches and Challenges,diagnosis,This paper discusses the advancement of fuzzy deep learning models for improving Alzheimer's disease diagnosis amidst challenges in conventional deep learning.,10_1109_tfuzz_2024_3409412,2024,10.1109/tfuzz.2024.3409412,diagnosis; clinical_decision_support,deep_learning,multimodal_data,prodromal_alzheimers; alzheimers_disease,,interpretability,methodological_framework; review_or_synthesis
Alzheimer's Disease Analysis using Explainable Artificial Intelligence (XAI),early_detection,This paper investigates the use of Explainable Artificial Intelligence (XAI) methods to identify stages of Alzheimer's disease from image data.,10_1109_icscds53736_2022_9760858,2022,10.1109/icscds53736.2022.9760858,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network; classical_machine_learning,structural_mri,mild_cognitive_impairment; alzheimers_disease,,interpretability,model_development; clinical_application
Artificial intelligence technology in Alzheimer's disease research,early_detection,"This paper reviews the applications of artificial intelligence in the early detection, diagnosis, and treatment of Alzheimer's disease, highlighting the advancements in non-invasive techniques.",10_5582_irdr_2023_01091,2023,10.5582/irdr.2023.01091,early_detection; diagnosis; treatment_response_prediction,deep_learning; convolutional_neural_network,structural_mri; fluid_biomarkers; clinical_assessment,mild_cognitive_impairment; alzheimers_disease,,,review_or_synthesis
Deep and joint learning of longitudinal data for Alzheimer's disease prediction,progression_prediction,The paper discusses the application of deep and joint learning methods to predict Alzheimer's disease using longitudinal data.,10_1016_j_patcog_2020_107247,2020,10.1016/j.patcog.2020.107247,progression_prediction; diagnosis,deep_learning,multimodal_data,prodromal_alzheimers; alzheimers_disease,,,model_development; comparative_benchmark
Multi-label classification of Alzheimer's disease stages from resting-state fMRI-based correlation connectivity data and deep learning,diagnosis,This study develops a deep learning model for multi-label classification of Alzheimer's disease stages from resting-state fMRI data.,10_1016_j_compbiomed_2022_106240,2022,10.1016/j.compbiomed.2022.106240,diagnosis; disease_classification; progression_prediction,deep_learning; convolutional_neural_network,functional_mri,mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,diagnosis,This paper presents a deep convolutional neural network for predicting Alzheimer's disease using MRI images.,10_1016_j_measurement_2020_108838,2020,10.1016/j.measurement.2020.108838,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,,,model_development
Alzheimer's Disease Classification With a Cascade Neural Network,diagnosis,The paper presents a cascade neural network that combines gait and EEG data for accurate classification of Alzheimer's disease stages.,10_3389_fpubh_2020_584387,2020,10.3389/fpubh.2020.584387,diagnosis; disease_classification; patient_monitoring,deep_learning; convolutional_neural_network; graph_neural_network,eeg; wearable_sensor_data,mild_cognitive_impairment; alzheimers_disease,internal_holdout,discrimination_performance,model_development; clinical_application
Transformed domain convolutional neural network for Alzheimer's disease diagnosis using structural MRI,diagnosis,This paper presents a convolutional neural network method for diagnosing Alzheimer's disease using structural MRI data.,10_1016_j_patcog_2022_109031,2022,10.1016/j.patcog.2022.109031,diagnosis,convolutional_neural_network,structural_mri,alzheimers_disease,,,model_development
Deep Learning-Based Alzheimer Disease Detection,diagnosis,"This paper proposes a deep convolutional neural network for the classification of Alzheimer's disease using MRI samples, achieving 98.57% accuracy.",10_1007_978_981_15_5546_6_50,2020,10.1007/978-981-15-5546-6_50,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease; mild_cognitive_impairment; cognitively_normal,,,model_development; model_validation
"Applied machine learning in Alzheimer's disease research: omics, imaging, and clinical data",disease_classification,"This paper reviews various machine learning methods applied in Alzheimer's disease research, focusing on areas such as disease classification, drug repurposing, subtyping, progression prediction, and biomarker discovery.",10_1042_etls20210249,2021,10.1042/etls20210249,disease_classification; drug_discovery; progression_prediction,classical_machine_learning,multimodal_data; genomic_data; clinical_assessment,,,,review_or_synthesis
Influence of medical domain knowledge on deep learning for Alzheimer's disease prediction,diagnosis,This paper investigates the impact of medical domain knowledge on deep learning techniques for predicting Alzheimer's disease.,10_1016_j_cmpb_2020_105765,2020,10.1016/j.cmpb.2020.105765,diagnosis; progression_prediction,deep_learning,,alzheimers_disease,,,model_development
Classification of Alzheimer's Disease Using RF Signals and Machine Learning,diagnosis,This paper presents a machine learning approach using RF signals for classifying different stages of Alzheimer's disease noninvasively.,10_1109_jerm_2021_3096172,2021,10.1109/jerm.2021.3096172,diagnosis; disease_classification; progression_prediction,classical_machine_learning,electronic_health_records,alzheimers_disease,,discrimination_performance,model_development; model_validation
Diagnosis of Alzheimer's disease using laser-induced breakdown spectroscopy and machine learning,diagnosis,This paper demonstrates the application of laser-induced breakdown spectroscopy combined with machine learning for diagnosing Alzheimer's disease.,10_1016_j_sab_2020_105931,2020,10.1016/j.sab.2020.105931,diagnosis,classical_machine_learning,,alzheimers_disease,,,clinical_application
3D Convolutional Neural Networks for Diagnosis of Alzheimer's Disease via Structural MRI,early_detection,This paper demonstrates the use of a 3D convolutional neural network for diagnosing Alzheimer's disease through structural MRI data.,10_1109_cbms49503_2020_00020,2020,10.1109/cbms49503.2020.00020,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
Comparison of Transfer Learning and Conventional Machine Learning Applied to Structural Brain MRI for the Early Diagnosis and Prognosis of Alzheimer's Disease,early_detection,This paper evaluates the potential of transfer learning techniques applied to structural brain MRI for the early diagnosis and prognosis of Alzheimer's Disease.,10_3389_fneur_2020_576194,2020,10.3389/fneur.2020.576194,early_detection; diagnosis; progression_prediction; disease_classification,classical_machine_learning; deep_learning; convolutional_neural_network; ensemble_learning,structural_mri,cognitively_normal; mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance; calibration,model_development; comparative_benchmark
Deep learning and multimodal feature fusion for the aided diagnosis of Alzheimer's disease,diagnosis,This paper presents a deep learning model that fuses multimodal neuroimaging data for the accurate diagnosis of Alzheimer's disease.,10_1007_s00521_022_07501_0,2022,10.1007/s00521-022-07501-0,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri; functional_mri; multimodal_data,mild_cognitive_impairment; alzheimers_disease,cross_validation; external_validation,discrimination_performance; clinical_utility,model_development; clinical_application
Surface-functionalized SERS platform for deep learning-assisted diagnosis of Alzheimer's disease,diagnosis,This paper presents a surface-functionalized SERS platform that utilizes deep learning for the diagnosis of Alzheimer's disease.,10_1016_j_bios_2024_116128,2024,10.1016/j.bios.2024.116128,diagnosis,deep_learning,,alzheimers_disease,,,clinical_application
Hippocampus segmentation on epilepsy and Alzheimer's disease studies with multiple convolutional neural networks,diagnosis,This paper presents a deep learning method for hippocampus segmentation that outperforms other models in both Alzheimer's disease and epilepsy datasets.,10_1016_j_heliyon_2021_e06226,2021,10.1016/j.heliyon.2021.e06226,diagnosis; clinical_decision_support,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease; mixed_dementia_population,internal_holdout; external_validation,discrimination_performance,model_development; comparative_benchmark
A hybrid multimodal machine learning model for Detecting Alzheimer's disease,diagnosis,This paper presents a hybrid multimodal machine learning model for detecting Alzheimer's disease.,10_1016_j_compbiomed_2024_108035,2024,10.1016/j.compbiomed.2024.108035,diagnosis,classical_machine_learning; deep_learning,multimodal_data,alzheimers_disease,,,model_development
Machine learning for modeling the progression of Alzheimer disease dementia using clinical data: a systematic literature review,progression_prediction,This paper presents a systematic literature review on the application of machine learning methods using clinical data from electronic health records to model the progression of Alzheimer's disease dementia.,10_1093_jamiaopen_ooab052,2021,10.1093/jamiaopen/ooab052,progression_prediction; risk_prediction,classical_machine_learning,electronic_health_records; clinical_assessment,alzheimers_disease,cross_validation; external_validation,generalizability,review_or_synthesis
A Comprehensive Report on Machine Learning-based Early Detection of Alzheimer's Disease using Multi-modal Neuroimaging Data,early_detection,This paper outlines machine learning methodologies for the early detection of Alzheimer's disease using multi-modal neuroimaging data.,10_1145_3492865,2022,10.1145/3492865,early_detection; diagnosis,classical_machine_learning,multimodal_data,alzheimers_disease,,,model_development; methodological_framework
Automatic Detection of Alzheimer's Disease using Deep Learning Models and Neuro-Imaging: Current Trends and Future Perspectives,early_detection,This paper discusses the application of deep learning models in the automatic detection of Alzheimer's disease using neuroimaging techniques.,10_1007_s12021_023_09625_7,2023,10.1007/s12021-023-09625-7,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri; pet,mild_cognitive_impairment; alzheimers_disease,,,model_development; review_or_synthesis
"Artificial intelligence-driven multi-omics approaches in Alzheimer's disease: Progress, challenges, and future directions",early_detection,This paper discusses the integration of artificial intelligence with multi-omics approaches to advance understanding and treatment of Alzheimer's disease.,10_1016_j_apsb_2025_07_030,2025,10.1016/j.apsb.2025.07.030,early_detection; diagnosis; disease_classification; progression_prediction; drug_discovery,deep_learning; classical_machine_learning,genomic_data; multimodal_data,alzheimers_disease; prodromal_alzheimers,,clinical_utility; interpretability,review_or_synthesis
EAD-DNN: Early Alzheimer's disease prediction using deep neural networks,early_detection,This paper develops a deep neural network model for predicting early Alzheimer's disease.,10_1016_j_bspc_2023_105215,2023,10.1016/j.bspc.2023.105215,early_detection; diagnosis,deep_learning,,prodromal_alzheimers,,,model_development
Alzheimer's Disease Diagnosis With Brain Structural MRI Using Multiview-Slice Attention and 3D Convolution Neural Network,diagnosis,This paper presents a novel AI model for diagnosing Alzheimer's disease using multiview-slice attention and 3D convolution neural networks applied to MRI data.,10_3389_fnagi_2022_871706,2022,10.3389/fnagi.2022.871706,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance,model_development; comparative_benchmark
Diagnosis of Alzheimer Disease Using 2D MRI Slices by Convolutional Neural Network,diagnosis,"This paper presents a convolutional neural network to diagnose Alzheimer's disease using 2D MRI slices, achieving high accuracy.",10_1155_2021_6690539,2021,10.1155/2021/6690539,diagnosis,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
A novel deep learning approach for diagnosing Alzheimer's disease based on eye-tracking data,diagnosis,The paper presents a novel deep learning model utilizing eye-tracking data to enhance the diagnosis of Alzheimer's disease.,10_3389_fnhum_2022_972773,2022,10.3389/fnhum.2022.972773,diagnosis,deep_learning; classical_machine_learning,wearable_sensor_data,alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
Multi-scale multimodal deep learning framework for Alzheimer's disease diagnosis,diagnosis,The paper presents a multi-scale multimodal deep learning model that enhances the diagnosis of Alzheimer's disease using MRI and PET data.,10_1016_j_compbiomed_2024_109438,2024,10.1016/j.compbiomed.2024.109438,diagnosis,deep_learning; convolutional_neural_network,structural_mri; pet; multimodal_data,prodromal_alzheimers; alzheimers_disease,external_validation,discrimination_performance,model_development; clinical_application
A review of artificial intelligence methods for Alzheimer's disease diagnosis: Insights from neuroimaging to sensor data analysis,diagnosis,"The paper reviews various artificial intelligence methods for diagnosing Alzheimer's disease, examining insights from both neuroimaging and sensor data analysis.",10_1016_j_bspc_2024_106023,2024,10.1016/j.bspc.2024.106023,diagnosis; clinical_decision_support,classical_machine_learning; deep_learning,structural_mri; functional_mri; wearable_sensor_data,alzheimers_disease; mild_cognitive_impairment,,discrimination_performance; clinical_utility,review_or_synthesis
ADD-Net: An Effective Deep Learning Model for Early Detection of Alzheimer Disease in MRI Scans,early_detection,"This paper presents ADD-Net, a deep learning model for the early detection of Alzheimer's disease in MRI scans.",10_1109_access_2022_3204395,2022,10.1109/access.2022.3204395,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,prodromal_alzheimers; alzheimers_disease,cross_validation; internal_holdout; external_validation,discrimination_performance; robustness,model_development; comparative_benchmark
A machine learning model for Alzheimer's disease prediction,early_detection,"This study proposes a machine learning methodology for predicting Alzheimer's disease using various algorithms, achieving high accuracy in predictions.",10_1049_cps2_12090,2024,10.1049/cps2.12090,early_detection; diagnosis; progression_prediction,classical_machine_learning,clinical_assessment,prodromal_alzheimers; alzheimers_disease,cross_validation; internal_holdout,discrimination_performance; generalizability,model_development; model_validation
Automated Alzheimer's disease classification using deep learning models with Soft-NMS and improved ResNet50 integration,early_detection,This study introduces an ensemble deep learning model that achieves high accuracy in classifying Alzheimer's disease stages based on MRI data.,10_1016_j_jrras_2023_100782,2024,10.1016/j.jrras.2023.100782,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network; ensemble_learning; recurrent_neural_network,structural_mri,alzheimers_disease; mild_cognitive_impairment,,discrimination_performance,model_development; model_validation; clinical_application
Improving 3D convolutional neural network comprehensibility via interactive visualization of relevance maps: evaluation in Alzheimer's disease.,diagnosis,The study presents a method for improving the comprehensibility of convolutional neural networks in the diagnosis of Alzheimer's disease by using interactive visualization of relevance maps.,10_1186_s13195_021_00924_2,2021,10.1186/s13195-021-00924-2,diagnosis,deep_learning; convolutional_neural_network,structural_mri,mild_cognitive_impairment; alzheimers_disease,cross_validation; independent_cohort,interpretability; clinical_utility,model_development; model_validation
