paper_id,field,value,issue,severity,detail
10_1049_cps2_12090,methodology,synthetic_minority_oversampling,review_value_dropped,warning,dropped_by_review
10_1186_s13195_021_00924_2,methodology,interactive_visualization,review_value_dropped,warning,dropped_by_review
10_1109_icdcece60827_2024_10548493,venue,,recommended_metadata_missing,warning,
10_1109_icdcece60827_2024_10548493,methodology,deep_convolutional_neural_network,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1109_tencon54134_2021_9707468,methodology,neural_network_models,review_value_dropped,warning,dropped_by_review
10_1109_tencon54134_2021_9707468,methodology,classification_techniques,review_value_mapped,warning,mapped_to=machine_learning
10_21203_rs_3_rs_624520_v1,methodology,supervised_machine_learning,review_value_mapped,warning,mapped_to=machine_learning
10_21203_rs_3_rs_624520_v1,methodology,computer_aided_diagnosis,review_value_dropped,warning,dropped_by_review
10_1155_2021_8198552,methodology,deep_metric_learning,review_value_dropped,warning,dropped_by_review
10_1155_2021_8198552,methodology,cnn,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1109_ssd49366_2020_9364155,venue,,recommended_metadata_missing,warning,
10_1016_j_bspc_2022_104375,methodology,convolutional_neural_networks,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_j_bspc_2022_104375,methodology,knn,review_value_mapped,warning,mapped_to=machine_learning
10_1016_j_heliyon_2024_e29375,methodology,vgg16_model,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1109_icics52457_2021_9464543,venue,,recommended_metadata_missing,warning,
10_60084_hjas_v1i1_12,methodology,ensemble_machine_learning,review_value_mapped,warning,mapped_to=ensemble_learning
10_60084_hjas_v1i1_12,methodology,qsar_modeling,review_value_dropped,warning,dropped_by_review
10_1016_j_ibmed_2023_100091,methodology,hyperparameter_optimization,review_value_dropped,warning,dropped_by_review
10_6026_97320630017363,methodology,machine_learning_classification,review_value_mapped,warning,mapped_to=machine_learning
10_1109_jbhi_2022_3215533,methodology,wavelet_packet_transform,review_value_dropped,warning,dropped_by_review
10_1002_alz_70175,methodology,hybrid_models,review_value_dropped,warning,dropped_by_review
10_1111_1475_6773_14210,methodology,rule_based_algorithm,review_value_dropped,warning,dropped_by_review
